long,tiempoConPodas,tiempoSinPodas
1,70123,747
2,3282,2177
3,4703,4980
4,6153,11083
5,7636,22656
6,97546,117194
7,721726,264243
8,365957,250642
9,570274,356484
10,836789,532981
11,984180,595727
12,1381584,780629
13,1172428,665666
14,1457304,805216
15,1215944,848843
16,1978698,1209124
17,2177595,1362986
18,2351572,1428498
19,3080350,1827742
20,2786962,1881591
21,4303541,2428526
22,4842014,3469241
23,7909931,5044520
24,8777621,7808111
25,11165015,7673098
26,19216084,8932927
27,16705842,10976814
28,14468280,7571213
29,20888147,14550753
30,16137837,15595641
31,34862975,17654772
32,28145097,17016874
33,17826254,11829766
34,37884898,12783264
35,24116533,26672572
36,18657723,10873833
37,15383554,10035519
38,16055856,9852387
39,19606691,12401344
40,17074012,11146123
41,18676341,12692997
42,19218418,12484139
43,22179523,13684778
44,23385254,15140640
45,27224075,17831339
46,28765114,17890989
47,31326851,23260312
48,31385701,20518478
49,33656750,22061861
50,37781211,25046715
51,37492265,25000978
52,39998692,26020002
53,43112660,25584873
54,45229329,28673624
55,48376731,32219843
56,49122816,31629434
57,50414496,33382100
58,51987442,33660126
59,55870112,35449473
60,60837281,42838667
61,72302025,41708415
62,67902338,43452469
63,67385676,44689232
64,72354931,45914590
65,82584088,50444675
66,73322346,50228256
67,83018096,53951713
68,89689579,57304336
69,90429514,58256940
70,100532240,63565513
71,96787391,63239436
72,112078548,69321731
73,110225430,74138501
74,124262353,73067295
75,121126354,81891036
76,115775095,78757407
77,119714727,82465159
78,130219165,81513916
79,127556903,82893252
80,143257309,98229833
81,138174589,95069148
82,145160943,100767559
83,153126846,105054292
84,154343362,104894563
85,159295822,107753123
86,166813282,110545318
87,168626123,111514916
88,209820985,145224533
89,202374047,135862143
90,191787455,126839835
91,221561935,145608876
92,203229618,133004499
93,197922144,138625494
94,217445115,151320230
95,244765888,155448014
96,375139233,231304642
97,245741420,161816213
98,248622180,167158985
99,268268779,179989000
100,257940687,179848366
101,273634653,179985939
102,293909796,187091163
103,291714428,187071063
104,290249505,195388827
105,293945996,207813542
106,309366159,199610856
107,306000085,205378417
108,311586558,215961532
109,327400467,221252461
110,354470643,247370734
111,352548036,236525548
112,369162457,254102861
113,385934808,270736160
114,541123244,367048114
115,392903582,265550891
116,418317045,272506519
117,418337712,276388168
118,420497958,278021874
119,443010393,293208274
120,445411977,309719845
121,464632077,312077214
122,466449350,310560311
123,478581030,311613552
124,500973944,320100737
125,504683184,339847090
126,515838014,334582731
127,525103680,346270297
128,558906798,377703573
129,551229540,380425407
130,559561798,366316034
131,559544593,367192257
132,556879799,367788789
133,573774320,392378080
134,587800133,400831992
135,631379650,430220022
136,629903720,422759668
137,637188889,426417734
138,648708376,432618361
139,654096021,450272242
140,749284165,570115061
141,868580400,575945274
142,805122056,524797385
143,1095509384,784446747
144,886117907,564705561
145,877086381,551806162
146,781868686,539013241
147,811603319,550297886
148,799482109,532656070
149,888541766,588369072
150,839279237,564633933
